in:GlzRatio,in:Orientation,in:HVAC,in:SHGC,in:ShadeType,in:UValue(IP),out:PeakCool,out:PeakHeat,out:HVACSize,out:EUI,img
0.3,N,VAV,0.25,None,0.4,3177.403961,2656.607044,3177.403961,46.775601,180_0_0.3_0.25_0.4_0_10.549661_16.970315_19.255625_3177.403961_2656.607044_3177.403961_46.775601.png
0.3,N,Hydr,0.25,None,0.4,3177.403961,2656.607044,3177.403961,29.528261,180_1_0.3_0.25_0.4_0_3.249794_9.41423_16.864237_3177.403961_2656.607044_3177.403961_29.528261.png
0.4,N,VAV,0.25,None,0.4,3445.036961,2981.175483,3445.036961,50.568605,180_0_0.4_0.25_0.4_0_11.412561_19.449603_19.706441_3445.036961_2981.175483_3445.036961_50.568605.png
0.4,N,Hydr,0.25,None,0.4,3445.036961,2981.175483,3445.036961,31.130586,180_1_0.4_0.25_0.4_0_3.389318_10.784146_16.957122_3445.036961_2981.175483_3445.036961_31.130586.png
0.5,N,VAV,0.25,None,0.4,3694.848244,3301.958186,3694.848244,54.252883,180_0_0.5_0.25_0.4_0_12.214528_21.907969_20.130386_3694.848244_3301.958186_3694.848244_54.252883.png
0.5,N,Hydr,0.25,None,0.4,3694.848244,3301.958186,3694.848244,32.760267,180_1_0.5_0.25_0.4_0_3.52135_12.19104_17.047878_3694.848244_3301.958186_3694.848244_32.760267.png
0.6,N,VAV,0.25,None,0.4,3933.348789,3619.53327,3933.348789,57.83327,180_0_0.6_0.25_0.4_0_12.953297_24.353775_20.526199_3933.348789_3619.53327_3933.348789_57.83327.png
0.6,N,Hydr,0.25,None,0.4,3933.348789,3619.53327,3933.348789,34.405989,180_1_0.6_0.25_0.4_0_3.646836_13.624964_17.134189_3933.348789_3619.53327_3933.348789_34.405989.png
0.7,N,VAV,0.25,None,0.4,4169.646558,3935.192847,4169.646558,61.439863,180_0_0.7_0.25_0.4_0_13.69964_26.808949_20.931274_4169.646558_3935.192847_4169.646558_61.439863.png
0.7,N,Hydr,0.25,None,0.4,4169.646558,3935.192847,4169.646558,36.061151,180_1_0.7_0.25_0.4_0_3.771793_15.067698_17.221661_4169.646558_3935.192847_4169.646558_36.061151.png
0.8,N,VAV,0.25,None,0.4,4439.720297,4231.637118,4439.720297,64.967318,180_0_0.8_0.25_0.4_0_14.560877_29.024471_21.38197_4439.720297_4231.637118_4439.720297_64.967318.png
0.8,N,Hydr,0.25,None,0.4,4439.720297,4231.637118,4439.720297,37.566669,180_1_0.8_0.25_0.4_0_3.96135_16.281649_17.323671_4439.720297_4231.637118_4439.720297_37.566669.png
0.2,W,VAV,0.15,None,0.25,4005.392918,2062.537626,4005.392918,48.724729,270_0_0.2_0.15_0.25_0_12.81203_15.675623_20.237076_4005.392918_2062.537626_4005.392918_48.724729.png
0.2,W,Hydr,0.15,None,0.25,4005.392918,2062.537626,4005.392918,26.88034,270_1_0.2_0.15_0.25_0_3.741719_6.035122_17.103498_4005.392918_2062.537626_4005.392918_26.88034.png
0.3,W,VAV,0.15,None,0.25,4463.777022,2261.202646,4463.777022,53.155423,270_0_0.3_0.15_0.25_0_14.179215_18.03723_20.938977_4463.777022_2261.202646_4463.777022_53.155423.png
0.3,W,Hydr,0.15,None,0.25,4463.777022,2261.202646,4463.777022,27.743922,270_1_0.3_0.15_0.25_0_3.946_6.563413_17.234508_4463.777022_2261.202646_4463.777022_27.743922.png
0.4,W,VAV,0.15,None,0.25,4940.10708,2458.467767,4940.10708,57.7416,270_0_0.4_0.15_0.25_0_15.573638_20.497607_21.670356_4940.10708_2458.467767_4940.10708_57.7416.png
0.4,W,Hydr,0.15,None,0.25,4940.10708,2458.467767,4940.10708,28.64503,270_1_0.4_0.15_0.25_0_4.170402_7.102162_17.372466_4940.10708_2458.467767_4940.10708_28.64503.png
0.5,W,VAV,0.15,None,0.25,5405.741541,2654.221752,5405.741541,62.246807,270_0_0.5_0.15_0.25_0_16.905708_22.954446_22.386653_5405.741541_2654.221752_5405.741541_62.246807.png
0.5,W,Hydr,0.15,None,0.25,5405.741541,2654.221752,5405.741541,29.563751,270_1_0.5_0.15_0.25_0_4.392303_7.662872_17.508576_5405.741541_2654.221752_5405.741541_29.563751.png
0.6,W,VAV,0.15,None,0.25,5864.255375,2848.893099,5864.255375,66.727321,270_0_0.6_0.15_0.25_0_18.186317_25.444377_23.096627_5864.255375_2848.893099_5864.255375_66.727321.png
0.6,W,Hydr,0.15,None,0.25,5864.255375,2848.893099,5864.255375,30.491955,270_1_0.6_0.15_0.25_0_4.614667_8.235446_17.641842_5864.255375_2848.893099_5864.255375_30.491955.png
0.7,W,VAV,0.15,None,0.25,6323.755761,3043.604572,6323.755761,71.177293,270_0_0.7_0.15_0.25_0_19.439079_27.930507_23.807706_6323.755761_3043.604572_6323.755761_71.177293.png
0.7,W,Hydr,0.15,None,0.25,6323.755761,3043.604572,6323.755761,31.44469,270_1_0.7_0.15_0.25_0_4.846007_8.819105_17.779579_6323.755761_3043.604572_6323.755761_31.44469.png
0.8,W,VAV,0.15,None,0.25,6849.101336,3221.558882,6849.101336,75.707012,270_0_0.8_0.15_0.25_0_20.866989_30.232218_24.607806_6849.101336_3221.558882_6849.101336_75.707012.png
0.8,W,Hydr,0.15,None,0.25,6849.101336,3221.558882,6849.101336,32.307531,270_1_0.8_0.15_0.25_0_5.173449_9.189454_17.944628_6849.101336_3221.558882_6849.101336_32.307531.png
0.2,W,VAV,0.25,None,0.25,4619.560395,2062.537626,4619.560395,52.572616,270_0_0.2_0.25_0.25_0_14.670455_16.77601_21.126151_4619.560395_2062.537626_4619.560395_52.572616.png
0.2,W,Hydr,0.25,None,0.25,4619.560395,2062.537626,4619.560395,27.079648,270_1_0.2_0.25_0.25_0_4.212121_5.548492_17.319035_4619.560395_2062.537626_4619.560395_27.079648.png
0.3,W,VAV,0.25,None,0.25,5408.799434,2261.202646,5408.799434,59.011625,270_0_0.3_0.25_0.25_0_16.971789_19.726058_22.313779_5408.799434_2261.202646_5408.799434_59.011625.png
0.3,W,Hydr,0.25,None,0.25,5408.799434,2261.202646,5408.799434,28.05569,270_1_0.3_0.25_0.25_0_4.699543_5.78922_17.566926_5408.799434_2261.202646_5408.799434_28.05569.png
0.4,W,VAV,0.25,None,0.25,6225.044858,2458.467767,6225.044858,65.673525,270_0_0.4_0.25_0.25_0_19.257431_22.867485_23.54861_6225.044858_2458.467767_6225.044858_65.673525.png
0.4,W,Hydr,0.25,None,0.25,6225.044858,2458.467767,6225.044858,29.111965,270_1_0.4_0.25_0.25_0_5.236438_6.04455_17.830977_6225.044858_2458.467767_6225.044858_29.111965.png
0.5,W,VAV,0.25,None,0.25,7023.522065,2654.221752,7023.522065,72.242027,270_0_0.5_0.25_0.25_0_21.414062_26.070287_24.757677_7023.522065_2654.221752_7023.522065_72.242027.png
0.5,W,Hydr,0.25,None,0.25,7023.522065,2654.221752,7023.522065,30.178827,270_1_0.5_0.25_0.25_0_5.76055_6.333362_18.084915_7023.522065_2654.221752_7023.522065_30.178827.png
