in:Orientation (deg),in:Sill (ft),in:Overhang (ft),in:Roof Angle (deg),in:Ceiling (ft),out:EUI (kBTU/ft2),out:Hrs of Glare,out:Daylit Flr Area (%),out:peakCool(BTU/hr),out: Peak Heat (BTU/hr),img
0,3,8,0,12.5,34.832114,2.052055,100.000004,3904.19788,2303.29453,"orientation,0_sill,3_overhang,8_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,3,8,0,12.5,34.436869,2.271233,99.999996,3836.83136,2303.21863,"orientation,10_sill,3_overhang,8_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,3,8,0,12.5,33.715612,2.282191,99.999982,3672.68626,2303.2187,"orientation,20_sill,3_overhang,8_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,0,10,0,12.5,39.22953,1.90137,100.000004,4802.11668,2596.05316,"orientation,0_sill,0_overhang,10_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,0,10,0,12.5,38.728088,2.098631,99.999996,4699.82434,2595.96471,"orientation,10_sill,0_overhang,10_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,0,10,0,12.5,37.879336,2.104109,99.999982,4490.41111,2595.96478,"orientation,20_sill,0_overhang,10_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,3,10,0,12.5,32.962348,1.90137,100.000004,3400.30784,2299.02973,"orientation,0_sill,3_overhang,10_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,3,10,0,12.5,32.496625,2.098631,99.999996,3321.35877,2298.97885,"orientation,10_sill,3_overhang,10_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,3,10,0,12.5,31.860891,2.104109,99.999982,3187.6209,2298.97891,"orientation,20_sill,3_overhang,10_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,0,0,5,12.5,52.154641,3.084932,84.000004,8179.57064,2666.41774,"orientation,0_sill,0_overhang,0_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,0,0,5,12.5,52.583019,3.446576,82.666664,8168.831,2666.41775,"orientation,10_sill,0_overhang,0_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,0,0,5,12.5,52.465131,3.624657,78.66665,7987.83303,2666.41782,"orientation,20_sill,0_overhang,0_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,3,0,5,12.5,45.065281,3.090411,90.000004,6642.53743,2362.31471,"orientation,0_sill,3_overhang,0_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,3,0,5,12.5,45.324201,3.454795,82.666664,6637.17752,2362.31471,"orientation,10_sill,3_overhang,0_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,3,0,5,12.5,45.155691,3.632876,77.999984,6502.98634,2362.31477,"orientation,20_sill,3_overhang,0_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,0,2,5,12.5,48.366295,2.715068,90.66667,7317.65129,2650.17761,"orientation,0_sill,0_overhang,2_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,0,2,5,12.5,48.505894,3.019179,90.666663,7277.34608,2649.8087,"orientation,10_sill,0_overhang,2_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,0,2,5,12.5,48.061807,3.136986,83.999984,7061.50056,2649.80876,"orientation,20_sill,0_overhang,2_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,3,2,5,12.5,41.389564,2.715068,100.000004,5763.83555,2346.41331,"orientation,0_sill,3_overhang,2_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,3,2,5,12.5,41.342148,3.019179,99.999996,5726.69655,2346.1322,"orientation,10_sill,3_overhang,2_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,3,2,5,12.5,40.870459,3.136986,89.999983,5556.63909,2346.13226,"orientation,20_sill,3_overhang,2_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,0,4,5,12.5,44.733143,2.427397,100.000004,6417.19596,2636.09527,"orientation,0_sill,0_overhang,4_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,0,4,5,12.5,44.664884,2.690412,97.999996,6370.98496,2635.96844,"orientation,10_sill,0_overhang,4_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,0,4,5,12.5,44.003673,2.750684,91.333316,6144.40476,2635.96851,"orientation,20_sill,0_overhang,4_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,3,4,5,12.5,37.930292,2.427397,100.000004,4871.78561,2333.57579,"orientation,0_sill,3_overhang,4_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
